Ntrain	Dimsum2	SP2	Dimsum5	SP5	Dimsum10	SP10	Dimsum15	SP15	Dimsum20	SP20	Dimsum25	SP25	Smooth2	Smooth5	Smooth10	Smooth15	Smooth20	Smooth25
54	2.200606493	0.0002	2.873963072	0.0048	3.010054695	0.0082	3.827767073	0.0168	4.511429154	0.5716	3.587119326	0.0906	0.000466667	0.017133333	0.051	0.106666667	0.1305	0.1247
55	2.195266628	0	2.871140315	0.0004	2.998140618	0.0098	3.793813943	0.2242	4.357038389	0.2196	3.583742491	0	0.000433333	0.017133333	0.052633333	0.144033333	0.166	0.124533333
56	2.189059411	0	2.866285736	0.0002	3.030899399	0	3.792323111	0	4.251031988	0.1126	3.591652864	0.0002	0.000433333	0.011266667	0.0176	0.133433333	0.172266667	0.1137
57	2.189049099	0.0002	2.847953812	0.0114	3.030033447	0	3.757364695	0.0426	4.109486224	0.155	3.506192842	0.1274	0.000266667	0.006133333	0.0062	0.136133333	0.197133333	0.1349
58	2.180210581	0.0002	2.85025812	0.0008	2.916682165	0.3482	3.755110136	0.0012	3.516756267	0.565	3.495315379	0	0.000166667	0.006266667	0.0641	0.048966667	0.291233333	0.0802
59	2.171448137	0	2.850207215	0.0002	2.915692173	0.0032	3.721500597	0.0642	3.265832391	0.0012	3.484086772	0.0004	0.0001	0.002966667	0.061566667	0.058166667	0.270833333	0.036433333
60	2.167754859	0	2.857498901	0.0116	2.913290446	0	3.718703331	0	3.498712106	0.005	3.46935237	0.0002	6.66667E-05	0.0041	0.0602	0.055366667	0.1764	0.021366667
61	2.162815866	0	2.851011783	0.0002	2.899636484	0.0004	3.72461932	0.001	3.271198317	0.0444	3.461969881	0	6.66667E-05	0.004066667	0.058633333	0.018166667	0.1472	0.021366667
62	2.161097768	0.0002	2.852397925	0	2.868661281	0.0924	3.749917875	0.0062	3.061632104	0.4478	3.388056503	0.0726	0.0001	0.004033333	0.074033333	0.0192	0.203066667	0.033433333
63	2.155865377	0	2.864187103	0.0012	2.867463468	0	3.752900168	0.0128	3.011856536	0.0206	3.401294545	0	6.66667E-05	0.002333333	0.074033333	0.014233333	0.180666667	0.0122
64	2.153898803	0.0002	2.860534913	0.003	2.861407052	0.0056	3.762948419	0.0828	3.004645081	0.0002	3.454445341	0.0022	6.66667E-05	0.0027	0.016933333	0.027833333	0.086533333	0.012566667
65	2.150473182	0.0004	2.840588063	0.0082	2.863559202	0.0016	3.761739278	0	2.966381589	0.0798	3.457645746	0.0002	0.000133333	0.004033333	0.016666667	0.017133333	0.099633333	0.012533333
66	2.143379092	0.0016	2.8403023	0	2.879489942	0.012	3.761346783	0.0044	2.931294281	0.0036	3.360440595	0.2926	0.0004	0.0021	0.018666667	0.017866667	0.0994	0.061266667
67	2.135494097	0.001	2.858852627	0.0038	2.88071494	0.0206	3.72677176	0.1956	2.919665812	0.0148	3.353282295	0.0172	0.000566667	0.0027	0.022033333	0.0503	0.094466667	0.064133333
68	2.132783762	0	2.86206613	0	2.873590019	0.0004	3.716706097	0	2.870590419	0.0552	3.286184185	0.2236	0.000533333	0.0027	0.0067	0.049266667	0.029033333	0.0893
69	2.129941523	0	2.86326049	0	2.895009333	0.0076	3.695952057	0.1744	3.08774662	0.0194	3.282006713	0	0.000533333	0.0025	0.007966667	0.0762	0.028833333	0.0893
70	2.125744065	0.0002	2.885647769	0.0844	2.899327924	0.0004	3.691738531	0.0336	3.035256944	0.0146	3.278975594	0	0.000533333	0.016066667	0.0071	0.068	0.031233333	0.088933333
71	2.122638581	0	2.89596658	0.0206	2.890202621	0.0172	3.686460977	0.0002	2.987000867	0.2616	3.347932287	0.0582	0.000466667	0.018133333	0.0097	0.068033333	0.061533333	0.0986
72	2.128182299	0.0002	2.976776158	0.0022	2.903289046	0.0576	3.683755186	0.0362	2.964231189	0.1544	3.350630674	0.0002	0.000233333	0.0185	0.0173	0.073333333	0.086666667	0.049866667
73	2.128126541	0	2.981893997	0.0002	2.893388669	0.0004	3.671981561	0.1072	2.967652498	0	3.321213615	0.0844	6.66667E-05	0.0179	0.013933333	0.0586	0.0842	0.061066667
74	2.122603354	0.0004	2.978744035	0.0004	2.890367079	0.0646	3.702341492	0.0698	2.967388433	0.1856	3.320484567	0.0006	0.000133333	0.017966667	0.024633333	0.070233333	0.105933333	0.0239
75	2.120567553	0	2.978841229	0.0002	2.914410954	0.001	3.721099441	0.0022	2.972221029	0	3.283589693	0.069	0.000133333	0.018	0.023533333	0.041533333	0.1027	0.0354
76	2.113897414	0.0002	2.972586482	0.011	2.899672563	0.0024	3.71548339	0.0146	2.958868108	0.0574	3.273916108	0.0036	0.000133333	0.005766667	0.023866667	0.038366667	0.109833333	0.036
77	2.113221093	0	2.978887095	0	2.890136089	0.0648	3.62177064	0.2054	2.956906512	0	3.305308564	0.1202	0.000133333	0.002333333	0.0318	0.072566667	0.066233333	0.046333333
78	2.105971889	0.0014	2.979443216	0	2.889125369	0	3.594890522	0.0268	2.961884149	0.095	3.299932788	0.0044	0.000333333	0.001966667	0.0222	0.071	0.056333333	0.047033333
79	2.105096895	0	2.978080856	0	2.878398067	0.0314	3.611409436	0.0006	3.114709096	0.1454	3.301908665	0.0002	0.000333333	0.001933333	0.027366667	0.053233333	0.080566667	0.033
80	2.106283192	0	2.977789087	0.0002	2.901491621	0.0066	3.60543342	0.0008	3.135537228	0.0474	3.316400492	0.0008	0.000266667	0.0019	0.0177	0.041733333	0.057533333	0.033033333
81	2.077234777	0.0164	2.97792066	0	2.900320281	0	3.607593423	0.005	3.180021901	0.191	3.33055069	0.0054	0.003	0.001866667	0.017533333	0.0422	0.089366667	0.022433333
82	2.073580911	0.0002	3.02818958	0.0706	2.887454638	0.0026	3.639928913	0.0044	3.151848649	0.026	3.317230309	0.0078	0.003	0.0118	0.017566667	0.0405	0.084133333	0.023133333
83	2.073857581	0.0002	3.028949286	0.0002	2.893636231	0.0046	3.655306632	0.1746	3.149966929	0.0004	3.315305191	0	0.003033333	0.011833333	0.007533333	0.035366667	0.0842	0.0031
84	2.070599828	0	3.036191481	0.0002	2.882027148	0	3.639377607	0.0148	3.158929511	0.0048	3.310061792	0	0.0028	0.011866667	0.007533333	0.033366667	0.069166667	0.002366667
85	2.066167363	0	3.013485246	0.0068	2.857548401	0.001	3.584238129	0.1768	3.160155794	0.0002	3.324890006	0.0266	0.0028	0.013	0.002466667	0.062733333	0.044966667	0.006766667
86	2.064453663	0	2.993205454	0.0746	2.859952517	0.0004	3.602699429	0.0116	3.18733587	0.1864	3.326509775	0.0022	0.0028	0.0254	0.001433333	0.064533333	0.068133333	0.007
87	2.063093361	0	3.004277628	0.007	2.837483631	0.0038	3.554766971	0.0852	3.186147731	0	3.325936071	0	6.66667E-05	0.026566667	0.002066667	0.0779	0.0363	0.0061
88	2.061198383	0	3.008509649	0	2.829531863	0.0004	3.555792242	0	3.183393687	0.0002	3.281353525	0.017	3.33333E-05	0.0148	0.0017	0.077166667	0.032	0.007633333
