Ntrain	Dimsum2	LOOCV2	Dimsum5	LOOCV5	Dimsum10	LOOCV10	Dimsum15	LOOCV15	Dimsum20	LOOCV20	Dimsum25	LOOCV25
22	15.76696253	2.407878933	54.80148421	2.219116437	55.29813656	2.135608723	66.93622586	2.170698968	67.53431481	3.949163092	62.8609844	2.416858698
23	15.70484848	2.426244664	55.10584022	2.081530785	54.8125891	2.211002482	67.08216434	2.092531479	67.90716233	4.117484375	62.99840008	2.226821999
24	15.79028916	2.333225588	55.84735119	2.173538812	54.84056257	2.071430434	67.37090929	2.34138935	67.50130181	4.117392198	62.04619906	2.892781044
25	15.58228764	2.795053893	56.08252029	2.037903211	54.88786436	2.171722606	67.42560657	2.236566872	67.53173875	3.988857735	62.30296414	2.742322964
26	11.41363338	3.713431335	56.29205177	1.946782663	54.90315919	2.105640685	66.91143799	2.694020971	66.29047773	4.105310217	62.25935759	2.648731082
27	11.4339065	3.50759593	56.18060186	1.966764197	54.84583324	2.100268496	66.88327234	2.584347138	66.19049621	3.899713793	62.18066233	2.627912192
28	11.46992894	3.299878051	29.92877072	2.524427896	54.54331417	2.086058653	66.93272541	2.434993462	66.03150925	3.781915988	62.13298692	2.596694118
29	11.44355008	3.192950376	30.69154974	2.448185463	52.88743339	2.12747794	67.04266926	2.355478928	65.9352096	3.743641382	61.65089013	2.61290999
30	11.28505465	3.152982343	30.13172516	2.28103538	54.22526948	2.131955573	67.16749842	2.244602098	66.49179439	3.627251062	61.4426978	2.85397953
31	11.27084402	3.08593081	31.13092874	2.218953846	54.46223601	2.051622627	66.99240953	2.397316785	66.6895585	3.7268951	61.23492191	2.418319174
32	11.17816801	3.104871643	31.18625844	2.152452117	54.414103	2.0075782	67.19828671	2.330814222	66.77611909	3.624201388	61.21228812	2.241700856
33	11.08556214	3.085425738	31.1063927	2.072327569	55.18211585	1.946387401	66.5474189	2.317794553	66.9429996	3.481157871	59.48438127	2.631467692
34	11.0496359	3.050026755	31.16697241	2.020684395	55.29388895	1.925640927	66.66816551	2.272824509	66.93893035	3.39613276	59.38551971	2.490569201
35	11.00358243	3.022564433	10.86616533	3.151219526	55.49456415	1.824368212	66.73066279	2.202001245	67.61812549	3.396943671	59.78543051	2.445007538
36	10.92715999	3.126888544	13.34112224	2.995327838	55.80739916	1.922612456	67.40341619	2.381592205	67.66305719	3.200627461	60.31884921	2.357733688
37	10.87793191	3.431041837	13.6003498	2.949067017	55.86372126	1.876641146	67.58697254	2.303710691	67.69474829	3.049606669	60.37153441	2.300424896
38	11.0211202	3.371350606	13.68989884	3.257283723	55.92054641	1.83163276	67.57090679	2.255993901	66.73813528	2.989905464	60.44425239	2.255010699
39	10.92623555	3.621573473	11.15671983	2.3995538	55.5458405	2.281241028	67.67315187	2.231036123	66.59508141	2.950422243	60.28027727	2.250530218
40	10.91383876	3.544117368	12.09259635	2.441657964	55.6738622	2.17635843	67.70228218	2.18309929	66.58400753	2.936411511	60.13752016	2.22182041
41	10.89358444	3.492693704	11.98603466	2.392068588	55.57598895	2.06997461	67.40856249	2.252768944	67.08922888	2.889308018	60.44059014	2.246481836
42	10.81969351	3.668921117	11.93576546	2.396415846	55.3815101	2.084530112	67.35868088	2.536429724	67.05601011	2.81295922	60.34614386	2.193492832
43	10.75824356	3.619243402	11.95820472	2.576616756	55.24747124	2.035480257	67.33663426	2.181438155	66.30971195	2.807644552	60.27207864	2.163036542
44	10.7333726	3.572131479	11.91909219	2.526551721	55.22574294	1.981349706	67.6350711	2.186168128	66.33708844	2.807538585	59.97694114	2.487039703
45	10.71646795	3.586395325	11.86854827	2.558109267	56.56557677	1.955983592	67.60996064	2.151529516	66.29563477	2.818787595	60.10205073	2.422548114
46	10.86954156	5.312206266	11.72166619	2.626328496	57.2447266	1.952446046	67.69088136	2.100000748	66.32811001	2.772432197	59.99478469	2.374807131
47	10.84098855	5.26632573	11.71280401	2.57322697	57.10975173	2.025531578	67.64283325	2.054936476	66.42588655	2.765829143	60.01097328	2.27880565
48	10.78087491	5.21401127	11.86224317	2.372738724	57.17805681	1.991747225	67.70210069	2.124422141	66.2965754	2.676871522	59.01475603	2.227176112
49	10.76226953	5.132983237	11.36264066	2.345541618	57.19837155	1.958944539	67.51922907	2.309099662	66.32998559	2.704419433	59.00220448	2.183458822
50	10.82752167	5.079095246	11.55503896	2.332114048	57.33191854	1.93342324	67.49515681	2.054017278	66.42136007	2.640634535	59.12958569	2.191998376
51	10.83362359	5.085443584	11.3122867	2.500937811	11.39263988	2.415525592	67.67212441	2.005048215	65.83330457	2.575619025	59.34796633	2.197978515
52	10.87837707	5.030315776	11.36878492	2.439453274	11.52447144	2.391208625	67.62992736	1.988926043	58.20964169	2.279003941	59.16938111	2.23993172
53	10.84554979	4.974478579	11.24174828	2.398211596	11.33873163	2.338074867	67.48919562	1.992855843	58.61526405	2.227435928	59.22944426	2.187879388
54	10.79377319	4.929754457	11.13356941	2.33183939	11.3430254	2.345305682	67.59510768	1.95291994	58.53971739	2.208554456	59.10553068	2.121061706
55	10.78246375	4.878512415	11.15335262	2.261746693	11.34859738	2.303336688	25.21963862	2.955347178	58.31055911	2.33896229	57.8323615	2.177318128
