Ntrain	Dimsum2	LOOCV2	Dimsum5	LOOCV5	Dimsum10	LOOCV10	Dimsum15	LOOCV15	Dimsum20	LOOCV20	Dimsum25	LOOCV25
63	13.53050062	4.090459428	9.768912359	2.017318907	19.52650747	2.124483221	26.51018388	2.483475469	65.68127003	2.447476443	57.46988162	2.684025272
64	13.4848776	4.191424131	9.750459389	1.992195354	19.53365398	2.095885481	26.81836724	2.472939965	65.69816806	2.380904656	57.49676132	2.645301406
65	13.49074052	4.154806495	9.79966409	2.032882301	20.29088062	2.077689488	26.76546264	2.447891084	34.63402889	7.930541591	57.51601828	2.602531925
66	13.45682012	4.115609909	10.24941809	2.884730537	20.18086963	2.080592287	26.77630129	2.416072707	36.35998129	7.652092227	57.74636175	2.470669275
67	13.43641008	4.080518068	10.25187254	2.866046541	20.51045028	2.120597071	26.68753022	2.362633266	36.36718421	7.527797269	57.81458456	2.531457241
68	13.41804491	4.046452538	10.28765206	2.812703284	22.11706159	2.134688565	26.74938131	2.316810761	36.03853305	7.49933856	56.9263321	2.592897444
69	13.48073232	3.895794046	10.18780873	2.734313516	22.11973822	2.095327179	26.77367523	2.279472187	35.98363745	7.396193988	56.77583017	2.566456282
70	13.48880519	3.86249972	10.17097003	2.711557807	17.05964024	2.283493785	26.79691	2.276101036	35.96739255	7.325404389	56.89334825	2.535019122
71	13.46677403	3.806491169	10.15645172	2.694876662	17.47854625	2.264071299	26.84657246	2.245779749	36.02083289	7.269200911	56.89496392	2.495157039
72	13.45280757	3.771866721	10.05096787	2.882194729	17.5074971	2.245851139	26.8455616	2.216689507	36.00478643	7.209032074	57.12094441	2.570355832
73	13.43296643	3.740425606	10.05341693	2.919565227	17.5183449	2.183118448	27.00106675	2.196772882	35.9907333	7.158215045	57.13612274	2.542770432
74	13.41074202	3.706021194	9.995291475	3.147114718	17.54187544	2.169267275	26.8867343	2.259401688	35.95451573	7.089449513	57.21172938	2.519561083
75	13.38912625	3.672152478	10.00475089	3.127640903	17.56421197	2.184049031	26.81422737	2.245822488	35.95377708	7.035188213	56.83513858	2.979398153
76	13.37930546	3.643271473	10.02498503	3.103110296	16.39875489	2.193911044	26.94685453	2.264120386	36.50120367	7.021546683	56.82816888	2.939820043
77	13.35319718	3.621501559	10.04277048	3.079925931	16.45520751	2.169433013	26.98153339	2.228743752	36.49616136	6.96701479	56.82981794	2.749095899
78	13.31260973	3.59335657	10.0441049	3.018828692	16.33685617	2.167290589	26.99137111	2.193505327	36.56958898	6.868432052	56.78696002	2.87433091
79	13.29396429	3.566232552	9.790021426	2.992018017	16.32912921	2.137621502	27.25506497	2.254240875	36.7199197	6.826818411	56.36640248	2.642757537
80	11.82157606	5.314625613	9.72193685	2.991907776	16.39754613	2.161511195	27.48014265	2.254046958	36.74535186	6.772213613	56.46702432	2.615515415
81	11.81717508	5.279021696	9.659150311	3.042451078	16.19478972	2.113785246	25.34154446	2.428906037	36.64758959	6.691839589	56.03470915	2.634834712
82	11.8042917	5.238274767	9.657934948	3.014699452	16.20105588	2.087038905	25.4517482	2.380216892	36.97780756	6.674798434	55.92820791	2.595027043
83	11.79966966	5.201729915	9.688862922	3.055409685	16.80082913	2.038971436	25.42107002	2.345429252	36.96161069	6.70285081	55.39127674	2.669479743
84	11.85136717	5.054181892	9.761501831	3.044253309	17.10299417	2.056523898	25.38943312	2.304000997	36.91269455	6.66759074	55.41871642	2.64236023
85	11.82682288	5.015409918	9.783023663	3.041512595	17.41114793	2.025102031	25.58789377	2.296458015	37.11686658	6.625559301	55.33228776	2.617663944
86	11.81693686	4.97821266	9.809221065	2.999337511	17.43372527	2.005318645	25.34546743	2.470772339	36.72571936	6.596339816	45.62315622	2.552258867
87	11.8082618	4.942565339	9.823782419	2.989234213	18.70195794	2.016048761	25.42528733	2.438827235	36.72552858	6.550063872	44.48853425	2.514881292
88	12.88641427	4.448820211	9.535006167	2.61503625	18.68358873	1.995180713	25.36234167	2.474786329	36.96650668	6.529449167	44.70688675	2.52459942
89	12.27032053	4.42473317	10.84181503	2.591728192	18.67608938	1.973724827	25.35965222	2.443532074	37.32229866	6.510581351	44.87216169	2.480488677
90	12.26282559	4.394213862	10.83828462	2.575001424	14.8865536	2.15013815	25.47786406	2.416192681	37.35305804	6.474125445	44.96759726	2.458755135
91	12.43864526	4.371742814	10.83716267	2.552737558	14.91926001	2.114282346	25.36049733	2.441342799	37.34338761	6.427707134	44.10423254	2.483255941
92	12.43132586	4.341466027	10.79232807	2.518411004	14.91382047	2.073402213	25.11729831	2.54277978	33.53855537	6.139575821	44.1034027	2.526152378
93	12.48071925	4.302665492	10.81568208	2.491065555	15.21642866	2.230762168	25.14630713	2.506711415	33.23371619	6.113934246	44.23525753	2.673036991
94	12.46564814	4.272353381	10.80695167	2.473328387	15.17672598	2.202980267	25.06887844	2.478307994	33.18038428	6.072862749	44.30457432	2.649038691
95	12.47575358	4.252995039	10.77427348	2.474096939	15.1541514	2.21346324	24.98252827	2.446724171	33.17640492	6.043497438	44.21018281	2.641561035
96	12.47287472	4.216124084	10.86411926	2.427037437	15.21684463	2.181874374	18.24937948	2.418542248	33.20432078	6.001680906	44.0686554	2.668945474
97	12.46335513	4.189803573	10.853678	2.408715201	15.42367463	2.224115852	18.2801384	2.380233649	33.25316996	5.967385028	44.04072572	2.505675568
98	12.4753815	3.993480825	10.73371715	2.426925992	15.42570606	2.202588425	18.18230279	2.37491031	33.22787468	5.916647019	43.81921403	2.631677847
99	12.48351554	3.973827823	10.73329151	2.40440206	15.47229705	2.173404083	18.19740092	2.353201636	33.53726505	5.878238416	43.19787847	2.67419621
100	12.47820818	3.950119189	10.64269534	2.40512288	15.52866852	2.164959821	18.1058771	2.31535239	25.72786973	4.556141671	43.23604791	2.458470092
101	12.47099908	3.921644125	10.64142648	2.438933938	15.38449211	2.157588248	17.99650509	2.297254854	26.02075745	4.524283179	43.33885459	2.4419635
102	12.46469222	3.896276496	10.69723136	2.339538549	15.38053171	2.158442427	17.30052588	2.324807248	26.06616782	4.444352707	43.35371373	2.411026215
103	12.44341606	3.869307444	10.69810255	2.319108814	15.35004155	2.151891966	17.30369211	2.295925406	26.09745443	4.368386598	43.3630719	2.381874893
104	12.43202763	3.847367437	10.74478363	2.29576407	15.33553144	2.144174369	17.15655892	2.261947489	26.09451514	4.353843111	43.34590864	2.346691264
105	12.47357824	3.823644378	10.80867737	2.281679265	15.21825717	2.168160348	17.14981462	2.240575576	26.10300675	4.318975922	43.44251275	2.337995836
106	12.47067099	3.798417728	10.86052428	2.264072254	15.26403343	2.132917358	17.1784102	2.237612209	26.19292425	4.27735794	43.37939565	2.319079064
107	12.46093266	3.790886228	10.83220901	2.239489129	15.2584048	2.114795092	17.13097364	2.23350031	26.26137564	4.280460133	43.85931595	2.339031332
