Ntrain	Dimsum2	LOOCV2	Dimsum5	LOOCV5	Dimsum10	LOOCV10	Dimsum15	LOOCV15	Dimsum20	LOOCV20	Dimsum25	LOOCV25
19	7.058684444	4.417978981	7.822756549	1.640914521	7.124795484	2.651831777	10.5704787	3.136958853	9.435895945	3.402259904	10.95342794	3.018956319
20	6.863563372	4.319899401	7.800441479	2.155756763	6.994209587	2.786007309	10.3831367	2.758470977	9.560027777	3.716576878	10.70509381	2.88151127
21	6.662765822	4.161708842	7.687839007	2.254701738	6.817411224	2.737923228	10.28152841	2.562107055	9.630147101	3.737436757	10.41964719	2.825739287
22	6.728831265	3.720931123	7.640349621	2.161798844	6.702582419	2.659703794	10.31921075	2.906310436	9.617024347	3.60551219	9.868119689	2.975088253
23	6.629633866	3.608653515	7.595930722	2.065385739	6.576214387	1.906332904	10.36575583	2.425852953	9.617233851	3.480263123	9.598703337	2.770537395
24	6.591332056	3.545988572	7.438175361	2.256513817	6.499669708	1.820379348	10.31032492	2.846021557	9.636045743	3.369821243	9.47027395	2.711958226
25	6.523873022	3.441877232	7.407223036	2.11221972	6.275194468	2.661142235	9.318714948	2.717428639	9.196132184	3.290629776	9.327656188	2.641878629
26	6.463692621	3.246089974	7.440410953	2.144011707	6.216519603	2.669388473	9.12899903	2.590861996	9.17624742	3.202546561	9.178107137	2.627341194
27	6.370685081	3.092237179	7.32512774	2.308511937	5.987877111	2.490151504	7.222724209	2.352070094	9.07550743	3.144206686	8.911084153	2.573914389
28	6.24785353	3.025692167	7.334280058	1.965704069	5.92678985	2.363453256	6.967873433	2.748410936	9.066783818	3.073078581	8.835332902	2.496944861
29	6.192495296	2.94751314	7.362560438	1.659361103	5.857094165	2.857621093	6.884627863	2.70478614	8.954094656	2.95527083	8.44293277	2.725087396
30	6.133521903	3.026813776	7.34436271	1.568952909	5.728829675	2.888100402	6.823518039	2.664786394	8.879061013	2.908521482	7.987730068	2.573511854
31	5.987172177	2.938503721	7.337349184	1.88003931	5.607910216	2.70841139	6.88076489	2.57870386	8.94716355	2.735188807	7.947270823	3.029550405
32	5.940765521	3.085271595	7.510817634	1.87215641	5.495832478	2.386341703	6.891203913	2.53206066	9.020794613	2.740340816	7.940285533	2.228931083
33	5.884549002	3.031171455	7.510179259	1.822606707	5.427761953	2.179236118	7.047909282	2.542010367	7.596160875	3.153086502	7.919513045	2.538434978
34	5.849145002	2.97014135	7.500780107	1.772159246	5.368028137	2.147042419	7.271523621	2.556503834	7.497851031	2.714066596	7.896792458	2.419114269
35	5.842935577	2.912525846	7.47832045	2.145262695	5.120568493	2.363614743	7.019364341	2.160677301	7.519577031	2.633534927	7.883341427	1.88129726
36	5.74638082	2.855717813	7.453021423	2.104166131	5.452655188	2.117755445	6.555113438	2.149536419	7.471395111	2.645898391	7.134325427	2.928500634
