Ntrain	Dimsum2	LOOCV2	Dimsum5	LOOCV5	Dimsum10	LOOCV10	Dimsum15	LOOCV15	Dimsum20	LOOCV20	Dimsum25	LOOCV25
36	11.85945791	2.6746171	1	1	8.830222366	2.157951076	9.23560758	2.434912375	13.72664147	2.720183761	12.23590242	3.457527252
37	11.84924591	2.64637347	1	1	8.826250676	2.095575883	9.091567873	2.898101763	13.20953047	2.577154367	11.97439318	3.429637079
38	9.828178366	2.80724317	1	1	8.825105872	2.053087706	9.098318256	2.858300378	13.20431236	2.753159239	11.90347896	3.336522872
39	9.452032099	2.74982047	1	1	8.791261409	2.124505088	8.267123136	2.923619945	12.97444188	2.376934354	11.96140057	3.300756661
40	9.379726662	2.834825575	1	1	8.800812694	2.198326847	6.854155306	2.869468012	12.9408759	2.333893084	12.04551023	3.249856343
41	9.316528831	2.680563035	1	1	8.764333438	2.020080634	5.618196575	2.678128496	12.64954346	2.633597795	11.74002394	3.274915089
42	9.671531787	2.555306852	1	1	8.756461594	1.957510526	5.538108932	2.753565452	12.67077903	2.58674945	11.68646191	3.195786864
43	9.682266776	2.514729493	1	1	8.534049943	2.435507303	5.602359145	2.916121656	11.89440226	2.510920177	11.37424124	3.059969702
44	7.475569376	3.024898339	1	1	8.537159264	2.332897956	5.589597568	2.870802663	11.8815325	2.44478123	11.41560089	3.026791389
45	7.474946348	2.89131298	1	1	8.532345266	2.199474009	5.603000176	3.007773378	11.88353882	2.382153494	11.37298364	2.988935962
46	7.682179222	2.853315792	1	1	8.417603844	2.216220086	5.483802111	2.785246044	11.7331407	2.30923809	11.29313773	2.989390495
47	7.665579528	2.811626154	1	1	8.446872419	2.168650745	5.407228614	2.751266609	11.79149427	2.267354165	11.19268891	3.123866933
48	7.630433229	2.776505287	1	1	8.416964939	2.093358996	5.407664689	2.549372899	11.22417561	2.384427082	11.16802124	3.065837555
49	7.576919137	2.740694198	1	1	8.382486	1.877174346	5.290990715	2.250414213	11.12155718	2.313535799	11.17502306	3.024876572
50	7.531347413	2.837880031	1	1	8.401081407	1.83240013	5.27570207	2.429397911	11.09072461	2.067447819	10.97091696	2.970746295
51	7.528691743	2.802890554	1	1	8.382296893	1.797868115	5.274442256	2.202105317	11.12660384	2.062166954	10.90711398	2.93275198
52	7.26452543	2.761146775	1	1	8.384520594	1.755555312	5.409191565	2.177016632	10.48089361	2.267828624	10.93353889	2.878360587
53	7.258504852	2.722170118	1	1	8.374751305	1.722842297	5.304385918	2.154510094	10.68044968	2.129471924	10.823156	2.861849622
54	7.238010989	2.689718867	1	1	8.339074543	1.707400108	5.303442697	2.123140479	10.66580726	2.045371622	10.73436341	2.789141994
55	7.211908521	2.645246638	1	1	8.244356306	1.812289052	5.303168842	2.0957122	10.61336104	1.943555861	10.43263513	2.647574344
56	7.166802932	2.748628314	1	1	8.241152658	1.989284967	5.30257619	2.079820102	10.25219527	1.919152539	10.30782859	2.825620626
57	7.208767563	2.721162182	1	1	8.241468925	1.824440356	5.273724862	2.203771355	10.07637447	1.864106564	10.18435449	2.778720241
58	5.888944125	3.356622359	1	1	8.289407116	1.784018677	5.266786147	2.171520568	9.878683775	1.836885122	10.22375877	2.758918784
59	5.871272128	3.321630464	1	1	8.366306258	1.98686638	5.260485463	2.126884585	9.802285063	1.483935775	9.773571268	2.745167544
60	5.90309319	3.247490963	1	1	8.357913014	1.968360556	5.279545921	2.100775278	9.798932267	1.443066676	9.835228084	2.702351364
61	5.818509259	3.222771023	1	1	8.373595328	1.942140232	5.278827834	2.077415748	9.805455037	1.526244631	9.841344753	2.668338982
62	5.566393187	3.146897366	1	1	8.092780103	1.717700141	5.329551139	1.952978661	9.886240959	1.476491733	9.589962008	2.662106488
63	5.543886053	3.113033604	1	1	8.001825264	1.696472384	5.329967045	1.932334573	9.170089651	1.526255811	9.364410024	2.161584587
64	5.532373849	3.082554413	1	1	8.046754048	1.50395543	5.367487565	1.908872069	9.142352188	1.48111754	8.783402416	2.179831938
65	5.457437026	3.178169193	1	1	7.940218987	1.753972692	5.386612115	1.681876758	9.04132721	1.536634318	8.742047606	2.159207438
66	5.431170643	3.282680715	1	1	7.91519099	1.708764726	5.426846997	1.911705844	8.967089075	1.566268838	8.711559008	2.212561148
67	5.398715811	3.268370899	1	1	7.922636201	1.690122165	5.41571796	1.896536847	8.95038691	1.540113358	8.629516058	2.094687497
68	5.37889684	3.338998624	1	1	7.955473637	1.477982272	5.4914857	1.757369693	8.679471345	1.481646842	8.651366744	2.044682691
69	5.337296885	3.30939125	1	1	7.791722258	1.458146264	5.544673412	1.673083027	8.36002367	1.501318798	8.581159206	2.006933203
70	5.324612476	3.283352508	1	1	7.820006102	1.445282706	5.578365102	1.885742419	8.174627279	1.463030004	8.574282931	1.989162488
71	5.280303556	3.2598368	1	1	7.758175603	1.441989484	5.493307933	1.699177321	8.205217899	1.448229182	8.583131461	1.971651551
72	5.263522852	3.232541918	1	1	7.762916566	1.42263001	5.545461394	1.753986137	8.19273627	1.464579642	8.552211188	1.987593683
73	5.243862524	3.208097233	1	1	7.769646402	1.401701614	5.650248835	1.458893171	8.178678578	1.53485001	8.559492556	1.958529561
74	5.196503691	3.185456922	1	1	7.746846798	1.386784513	5.645139362	1.47241096	8.165851618	1.508488615	8.528182862	1.929037538
75	5.155532804	3.160237074	1	1	7.748506648	1.373370976	5.586741247	1.638335426	8.147299182	1.494119573	8.546560102	1.956104063
76	5.147400356	3.138143665	1	1	7.700577557	1.362472497	5.566934223	1.647833752	8.155936539	1.479358621	8.565759237	1.932819495
77	5.112753124	3.112931961	1	1	7.703427821	1.377672474	5.531356858	1.653604413	8.155966092	1.45206982	8.482275562	2.088362875
78	5.10058621	3.087445477	1	1	7.644896645	1.395828909	5.431270176	1.381333968	7.988575498	1.370569042	8.42063152	1.930418731
79	5.086845213	3.065486602	1	1	7.666701065	1.382453645	5.34289505	1.349206109	7.982642698	1.36352631	8.414957212	1.87435904
80	5.072086581	3.048313759	1	1	7.678804363	1.363339946	5.220577284	1.351498467	7.993377402	1.350765896	8.135658717	1.816430714
81	5.043447001	3.031035116	1	1	7.668588132	1.397746101	5.160363083	1.364844216	7.978216699	1.331581069	8.113108774	1.789216641
82	5.029590171	3.01082006	1	1	7.666856988	1.334159978	5.220344403	1.382935388	7.969703884	1.309395126	8.105809306	1.662539272
83	5.018625964	2.990252253	1	1	6.762333564	1.70243091	5.229397176	1.369567427	7.947640787	1.283825901	7.727421735	1.736407841
84	5.01799422	2.970505171	1	1	6.784596762	1.51012007	5.207071083	1.407228705	7.978733576	1.266207647	7.55715477	1.685145087
85	5.000048427	2.95348073	1	1	6.789758778	1.402910157	5.207304553	1.610838414	7.995502655	1.253891004	7.517231695	1.777958087
86	4.998202428	2.928682022	1	1	6.794548092	1.390643464	5.183644056	1.603806652	7.994085617	1.236808099	7.52633277	1.832734029
87	4.987558395	2.824525338	1	1	6.810775762	1.37905468	5.076082182	1.575653011	6.750062321	1.219189354	7.542058663	1.658428093
88	4.973749655	2.798727989	1	1	6.789156311	1.399799135	5.076219318	1.561295686	6.578496734	1.227124788	7.460490054	1.965435317
89	4.963687412	2.778164953	1	1	6.805730521	1.376553271	5.039372818	1.596648858	6.378492713	1.226539022	7.468948086	1.945099978
90	4.960791455	2.756845439	1	1	6.762470686	1.44335257	5.01444518	1.585992642	6.354765626	1.207955779	7.493054148	1.937133464
91	4.959385129	2.739158638	1	1	6.772093944	1.433382432	5.017581639	1.571767855	6.289035256	1.238717094	7.445819532	1.666943337
92	4.944625703	2.719403662	1	1	6.773376772	1.481556967	5.019017572	1.555965904	6.019419792	1.235076564	7.436174045	1.747401324
93	4.922081398	2.69979973	1	1	6.776714986	1.46112136	5.077995911	1.577271501	5.996286365	1.249861012	7.530363666	1.715138006
94	4.913163141	2.683770568	1	1	6.798178732	1.452259023	5.03402709	1.553826655	6.037505955	1.300900342	7.460045703	1.494485849
95	4.9081716	2.610676137	1	1	6.787304178	1.466172527	5.388040485	1.547291685	6.014240401	1.280361964	7.367659388	1.424673952
96	4.901657789	2.584207653	1	1	6.79232748	1.534347762	5.383692145	1.533813236	6.013123858	1.271429976	7.356623969	1.433007903
97	4.900043789	2.566638005	1	1	6.797155953	1.547990455	5.36231917	1.529806427	6.00685295	1.244050512	7.387764517	1.426574049
98	4.897983351	2.550147643	1	1	6.798553514	1.541289232	4.250359584	1.601600407	5.995672561	1.223350825	7.401020019	1.41664091
99	4.850441155	2.511037215	1	1	6.803403683	1.532292688	4.247911696	1.569444643	5.972770661	1.234032856	7.487323995	1.625396441
100	4.847782015	2.492326402	1	1	6.795282305	1.51821697	4.279887244	1.558979999	5.67700119	1.223074976	7.551973419	1.831998315
101	4.844188187	2.475098546	1	1	6.797894573	1.506569542	4.298659791	1.552172363	5.663733304	1.19425822	7.435932204	1.523196354
102	4.843153163	2.459070747	1	1	6.776841492	1.503835148	4.279786051	1.552412066	5.606561879	1.196242355	7.499171192	1.626328472
103	4.862160807	2.448131509	1	1	6.774417313	1.491996671	4.277683318	1.5363338	5.628853902	1.212801645	7.467403651	1.689769074
104	4.828833962	2.438571743	1	1	6.739684198	1.494712284	4.279087661	1.526071841	5.493880512	1.263498835	7.465440913	1.77753696
105	4.817861495	2.430919338	1	1	6.774322929	1.537737533	4.248833334	1.531336173	5.49404193	1.244098951	7.507033612	1.822626849
106	4.846214516	2.423583983	1	1	6.781201221	1.535137465	4.313166521	1.536051313	5.492181144	1.226974958	7.527177478	1.80052687
107	4.843974315	2.409939298	1	1	6.779673818	1.52442137	4.307768481	1.526803958	5.444145622	1.194086083	7.512160662	1.589370966
108	4.838541448	2.396203575	1	1	6.756054086	1.515171367	4.300920843	1.568175275	5.427207497	1.194747947	7.510299014	1.837526783
109	4.833394351	2.384446533	1	1	6.765140042	1.50751889	4.299248694	1.557308532	5.417085222	1.174840243	7.515405119	1.826981643
110	4.832791077	2.372248934	1	1	6.767747794	1.502930345	4.296899028	1.536691588	5.423527398	1.177583264	7.488695343	1.815603686
111	4.831442605	2.360232493	1	1	6.749477555	1.486726927	4.333864508	1.528317345	5.433658986	1.171986495	7.415726961	2.117458962
112	4.846117366	2.350017623	1	1	6.743983344	1.489595378	4.365552752	1.549937332	5.415194013	1.161032489	7.461668704	1.980692691
113	4.843544993	2.335785983	1	1	6.736892147	1.376382392	4.385708454	1.529085497	5.296441262	1.151871703	7.542149121	1.947820212
114	4.83498493	2.325905935	1	1	6.749924599	1.362380429	4.415379294	1.522340123	5.300757749	1.134652592	7.502415161	1.928448175
115	4.829608272	2.314809681	1	1	6.746033439	1.343979018	4.403440222	1.522083969	5.299793414	1.108921176	7.545803899	1.915348807
116	4.829647607	2.304612114	1	1	6.716814457	1.348374954	4.709344726	1.514396865	5.308982379	1.143258586	7.523963334	1.666654428
117	4.827688324	2.293594648	1	1	6.704754422	1.343923841	4.714320258	1.505112469	5.329590927	1.15478626	7.493049808	1.640995169
