Ntrain	Standard2	Symmetricmatern2	Matern2	Standard5	Symmetricmatern5	Matern5	Standard10	Symmetricmatern10	Matern10	Standard15	Symmetricmatern15	Matern15	Standard20	Symmetricmatern20	Matern20	Standard25	Symmetricmatern25	Matern25
58	3.553672831	2.154089899	1.930809299	4.662426413	5.052190263	5.126757491	4.812575718	5.009775004	7.049275025	5.489038759	6.298681659	8.154786431	6.076808886	6.939743872	8.335394851	6.171560514	6.465600773	9.090275003
59	3.550828181	2.155780785	1.85546191	4.638562424	5.036386046	5.089118268	4.808446751	4.988372703	7.007256352	5.509470798	6.283573566	7.700742872	6.069889187	6.869715195	8.207628717	6.078390512	6.21360629	8.902774704
60	3.536853858	2.166600887	1.823420624	4.6160914	4.975290538	5.088878699	4.789649614	4.874794445	6.958967412	5.451854586	6.227421855	7.581573007	6.160893584	6.705735276	8.136032739	6.007862674	6.174315179	8.84675125
61	3.528937549	2.163576053	1.788258771	4.693996098	4.949658873	5.079096771	4.682542495	4.786397468	6.908737178	5.441986357	6.101628335	7.442711156	6.115005791	6.649722095	8.104522318	5.904058934	6.04770431	8.778110712
62	3.495181154	2.186094318	1.761317054	4.832026046	4.836398872	5.075563569	4.605375664	4.756984056	6.873414962	5.432207019	6.043882965	7.265128	6.099821486	6.547891506	8.130232751	5.895628295	6.035896005	8.707645379
63	3.494481804	2.189700066	1.720472969	4.879958854	4.804039718	5.076451749	4.595280731	4.782709632	6.792650284	5.352398327	6.01003561	7.167743396	6.032672694	6.45136316	8.169964949	6.027049237	6.011240379	8.724136399
64	3.524915387	2.189620336	1.77063724	4.561019367	4.853380249	5.048736473	4.606933358	4.756786187	6.612118846	5.435886929	5.866806686	7.065824753	6.01029486	6.451246025	8.11267443	6.057322301	6.013530168	8.590244067
65	3.492957627	2.197476889	1.811598704	4.517634724	4.805987348	5.028054016	4.607432393	4.699204823	6.604104544	5.409788807	5.931495916	6.944222746	6.058192237	6.424089719	8.172759836	5.94314991	6.031307785	8.504849669
66	3.483948069	2.198657605	1.75994968	4.458244879	4.787953453	5.014263251	4.607957904	4.600577743	6.524514901	5.412610892	5.899726923	6.998454501	6.028608232	6.432269985	8.157401021	6.097422641	5.940488354	8.26050512
67	3.344051803	2.20676049	1.683054535	4.449288389	4.747132928	4.940041621	4.614922082	4.578028434	6.462100619	5.37477003	5.76115981	6.957586008	5.952950263	6.310834689	8.131160679	6.11134913	5.910853107	8.226001248
68	3.318625314	2.222266112	1.622695949	4.458352193	4.75776312	4.976961582	4.630470071	4.607201794	6.348128022	5.360260872	5.637940832	6.847406198	6.037781658	6.144196198	7.976217642	6.001100464	5.886226837	8.133857944
69	3.320843274	2.223060053	1.520403787	4.469458463	4.70511726	4.970638329	4.670366863	4.507381385	6.237443198	5.461606108	5.55373198	6.808789514	6.005015995	6.076080956	7.899620727	5.926478811	5.872642198	7.935842093
70	3.334182431	2.230006426	1.469464954	4.520086287	4.733570148	4.86469526	4.701622004	4.403758018	6.168977305	5.466557789	5.475274051	6.729819172	6.019687684	6.111497867	7.864623173	5.974917821	5.906633504	7.85287915
71	3.304259172	2.235516745	1.412285205	4.520723937	4.732734146	4.803233048	4.653535094	4.409973062	6.047487254	5.435538406	5.518082294	6.653232231	5.953763366	6.005267114	7.870555814	5.916992234	5.775833507	7.704643087
72	3.301065989	2.223412563	1.398476543	4.470805318	4.77158463	4.755727535	4.656212755	4.407998707	5.897406122	5.391979944	5.520384853	6.554143127	5.825162308	5.912348169	7.851342243	6.192916879	5.73702531	7.614091997
73	3.241637106	2.21959319	1.400099718	4.44248545	4.77841595	4.729358114	4.642552677	4.344687729	5.851681669	5.466276692	5.528291655	6.591093875	5.818118382	5.903118952	7.779943578	6.127437605	5.768838659	7.470959422
74	3.242934653	2.218044054	1.387017415	4.483021589	4.710502505	4.641326687	4.639948045	4.233590757	5.77230109	5.51545374	5.528332971	6.618812631	5.832885691	5.905847286	7.775074101	6.096712213	5.761523488	7.50989265
75	3.279823961	2.222090253	1.392872539	4.479559975	4.684753529	4.580626966	4.617125587	4.116877452	5.663553118	5.516576697	5.534214918	6.606500708	5.780720023	5.889886346	7.560941881	6.307939567	5.752645767	7.52061932
76	3.279712401	2.212779375	1.370962615	4.444404952	4.674562707	4.584200447	4.566299097	4.104459466	5.692379536	5.531434861	5.569268863	6.566187537	5.763538405	5.868961381	7.548909369	6.196549613	5.800604439	7.494894687
77	3.290924165	2.178634437	1.361027036	4.431772739	4.634246387	4.638372946	4.710114783	4.112591542	5.638807322	5.422309876	5.545137412	6.55438834	5.762025984	5.799071352	7.516660362	5.979589769	5.758913446	7.350758121
78	3.303801767	2.237460068	1.346461541	4.422877233	4.623691281	4.581498313	4.666312626	4.106004739	5.645825646	5.478815757	5.576811926	6.597112547	5.759203187	5.798383979	7.479746498	6.207714573	5.72988683	7.278827102
79	3.309028073	2.249946403	1.330595839	4.437711545	4.618649881	4.537789175	4.695124204	4.09040195	5.632940486	5.519066027	5.616682551	6.570071263	5.763564727	5.755380983	7.465203813	6.148399662	5.683442636	7.314175447
80	3.313116107	2.250695312	1.310014705	4.542913749	4.61818476	4.490087952	4.701717955	4.076948746	5.46036931	5.460967246	5.570202401	6.49225835	5.600129801	5.615928758	7.389130589	6.125675786	5.737594451	7.212573696
